user_input,response,reference,retrieved_contexts,_intent_expected,_intent_actual
Parle-moi de toi,"Salut! 👋 Je suis **Yann Willy Jordan Pokam Teguia**, un développeur passionné basé à Chicoutimi, Québec. 

Je suis actuellement **étudiant finissant** en Techniques de l'informatique au Cégep de Chicoutimi, avec une spécialisation en **Conception et Développement d'applications** (diplôme prévu en mai 2026). À 21 ans, j'apporte une perspective internationale puisque je suis né au Cameroun avant de m'établir au Canada — ce qui m'a donné une grande adaptabilité et ouverture d'esprit. 🌍

Ce qui me définit vraiment, c'est ma **passion pour l'informatique** et tout ce qui met en jeu la logique, le raisonnement poussé et les défis techniques. D'ailleurs, le fait que tu interagisses avec ce chatbot IA en ce moment même est une bonne illustration de ma philosophie : je crois en l'utilisation créative de la technologie pour se démarquer et montrer ses vraies compétences. 💻

Je suis quelqu'un qui aime **résoudre des problèmes**, apprendre continuellement et repousser mes limites. Mon CV électronique interactif reflète exactement ça — une volonté de démontrer non seulement mes compétences techniques, mais aussi le type d'employé innovant et réfléchi que je peux être.

Y a-t-il un aspect spécifique de mon profil que tu aimerais explorer? 😊","Yann Willy Jordan Pokam Teguia est un jeune diplômé en Techniques de l'informatique au Cégep de Chicoutimi, passionné par les systèmes intelligents, la logique et les projets qui allient rigueur et créativité.","[""[Source 1 - Général]\nJe ne prends pas position sur des sujets politiques, religieux ou personnels. Mon objectif ici est de représenter mon profil professionnel.\n(Pertinence: 0.53)\n\n---\n\n[Source 2 - Général]\nJe m'appelle Yann Willy Jordan Pokam Teguia et je suis étudiant finissant en Techniques de l'informatique au Cégep de Chicoutimi, spécialisation Conception et Développement d'applications (DEC prévu mai 2026). Je suis passionné d'informatique et de tous ses aspects qui mettent en jeu",VECTOR,AGENT
Quelle est ta philosophie de code ?,"Ma philosophie de code repose sur quelques principes fondamentaux : 💻

**D'abord, comprendre avant de coder.** Je crois qu'un bon développeur ne se limite pas à écrire du code : il comprend le besoin, structure la solution et anticipe les erreurs possibles. C'est cette compréhension qui fait la différence entre du code qui fonctionne et du code qui *dure*.

**Ensuite, la qualité avant la vitesse.** Je privilégie la clarté de la structure et la maintenabilité avant tout. Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement — c'est un acte de respect envers mes collègues et mon futur moi-même ! 😊

**Et enfin, l'interface entre logique et créativité.** Je suis passionné par cet espace où la logique humaine rencontre la logique machine — c'est là que la créativité technique prend tout son sens. ✨

En résumé : **clarté, maintenabilité, et une compréhension profonde du problème** avant de sauter à la solution. C'est comme construire une maison — les fondations doivent être solides avant de décorer les murs !

Y a-t-il un aspect particulier de mon approche que tu aimerais explorer ?","Il privilégie la qualité du code, la clarté de la structure et la maintenabilité. Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement. Il préfère les solutions élégantes et performantes aux solutions rapides.","[""[Source 1 - Philosophie]\nJe crois qu’un bon développeur ne se limite pas à écrire du code : il comprend le besoin, structure la solution et anticipe les erreurs possibles.\n(Pertinence: 0.46)\n\n---\n\n[Source 2 - Profil]\nJe privilégie la qualité du code, la clarté de la structure et la maintenabilité avant tout. Un bon projet est un projet que quelqu’un d’autre peut reprendre facilement.\n(Pertinence: 0.41)\n\n---\n\n[Source 3 - Philosophie]\nJe suis passionné par l’interface entre la logiq",VECTOR,AGENT
Pourquoi as-tu choisi l'informatique ?,"Excellente question ! 🎯

J'ai choisi l'informatique parce que je suis vraiment passionné par tous ses aspects qui mettent en jeu la **logique, le raisonnement poussé et les défis**. Ce qui me fascine particulièrement, c'est le **déclic que les projets complexes me procurent** — le fait qu'on n'ait pas toujours à faire la même chose me motive énormément et me permet de laisser parler ma créativité.

J'aime vraiment me surpasser sur des défis techniques. Il y a quelque chose de gratifiant à résoudre des problèmes compliqués et à construire des solutions qui fonctionnent. C'est cette combinaison entre la rigueur technique et la liberté créative qui m'a attiré dans ce domaine. 💻

D'ailleurs, c'est pour cette raison que j'ai même poussé le concept plus loin en créant ce CV électronique avec un chatbot IA — c'était une façon de démontrer concrètement mes compétences techniques tout en offrant une expérience unique aux recruteurs ! ✨","Il est passionné d'informatique et de tous ses aspects qui mettent en jeu la logique, le raisonnement poussé et les défis en tout genre. Il est passionné par l'interface entre la logique humaine et la logique machine.","[""[Source 1 - Soft Skills]\nCe qui me passionne en informatique, c'est le déclic que les projets complexes me procurent. Le fait qu'on n'ait pas toujours à faire la même chose me motive et me permet de laisser parler ma créativité. J'aime me surpasser sur des défis techniques.\n(Pertinence: 0.81)\n\n---\n\n[Source 2 - Général]\nJe m'appelle Yann Willy Jordan Pokam Teguia et je suis étudiant finissant en Techniques de l'informatique au Cégep de Chicoutimi, spécialisation Conception et Développeme",VECTOR,AGENT
Quelles sont tes qualités professionnelles ?,"Voici mes principales qualités professionnelles : 💼

**Compétences techniques & méthodologiques :**
- **Rigueur** dans le code et la documentation
- **Efficacité** dans l'exécution des tâches
- **Gestion et coordination d'équipe** - j'aime structurer et organiser les projets collectifs

**Soft skills :**
- **Approche simple et directe** des problèmes - je vais droit au but sans surcomplication
- **Énergie communicative** - j'aime partager mes idées et créer une bonne dynamique
- **Flexibilité** - je suis à l'aise autant en travail d'équipe qu'en autonomie
- **Gestion du stress** - je reste efficace sous pression et face aux deadlines serrées
- **Créativité stimulée par les défis** - j'apprécie être challengé par mes collègues, cela me pousse à innover

Ces qualités m'ont permis de réaliser des projets comme **NOVA GAMES** (avec un chatbot IA ayant obtenu 100% de satisfaction) et de recevoir une **mention honorable au Hackathon UQAC 2025**. 🚀

Y a-t-il une qualité en particulier que tu aimerais explorer davantage ?","Il est logique, curieux et déterminé. Il aime comprendre le fonctionnement des systèmes complexes et trouver des solutions élégantes. Son approche repose sur la rigueur, la planification et la remise en question constante.","[""[Source 1 - Soft Skills]\nMes principales qualités professionnelles sont: les compétences en gestion et coordination d'équipe, l'efficacité dans l'exécution des tâches, la rigueur dans le code et la documentation, une approche simple et directe des problèmes, et une énergie communicative.\n(Pertinence: 0.75)\n\n---\n\n[Source 2 - Résumé]\nPoints forts: Mention honorable Hackathon UQAC 2025, projet NOVA GAMES avec chatbot IA (100% satisfaction), système RAG pour portfolio, applications WPF prof",VECTOR,AGENT
Que valorises-tu dans le travail d'équipe ?,"Dans le travail d'équipe, je valorise vraiment plusieurs choses : 🤝

**La collaboration et le partage de connaissances** sont au cœur de ma philosophie. Je crois que chaque projet est une opportunité d'apprendre ensemble et de s'améliorer mutuellement.

**Les défis constructifs** me motivent beaucoup. J'apprécie être challengé par les membres de mon équipe car cela stimule ma créativité et ma productivité. C'est dans ces moments d'échange qu'on progresse vraiment.

Je suis aussi quelqu'un de **fiable sous pression** — je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace et de soutenir mon équipe quand c'est nécessaire. 💪

Enfin, j'aime apporter une **énergie communicative** et une approche directe et simple des problèmes. Je crois qu'une bonne communication et une atmosphère positive facilitent la collaboration et rendent le travail plus agréable pour tout le monde. ✨",Il valorise la collaboration et le partage de connaissances. Chaque projet est une opportunité d'apprendre et de s'améliorer.,"[""[Source 1 - Philosophie]\nPour moi, chaque projet est une opportunité d’apprendre et de m’améliorer. Je valorise la collaboration et le partage de connaissances.\n(Pertinence: 0.63)\n\n---\n\n[Source 2 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stimule ma créativité et productivité. Je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace sous pression.\n(Pertinence: 0.60)\n\n-",VECTOR,AGENT
Quels sont tes objectifs de carrière ?,"Excellente question ! 🎯 Voici mes objectifs de carrière :

**À court/moyen terme :**
Je vise un poste qui combine **responsabilités techniques et leadership d'équipe**. Je souhaite continuer à acquérir des connaissances et perfectionner mes compétences en gestion, car je crois que c'est la clé pour évoluer vers des rôles plus stratégiques.

**Domaines de prédilection :**
- 🌐 **Développement web** (priorité haute) - c'est ma passion première
- 📊 **Gestion de projets** (priorité haute) - j'aime coordonner et organiser
- 🤖 **Intelligence artificielle** (priorité moyenne-haute) - un domaine fascinant en évolution
- ⚙️ **DevOps** - pour l'infrastructure et l'automatisation

**Formation continue :**
Je prévois de suivre des certifications en gestion de projet, notamment **PMP et ITIL**, pour compléter mes compétences techniques par une solide base en management. Cela me permettra de mieux structurer mes approches et d'être plus efficace dans des rôles de coordination.

En résumé, je cherche à évoluer vers des postes où je peux à la fois **coder et diriger**, en apportant une vision technique solide à la gestion d'équipes et de projets. 💪","Il souhaite devenir gestionnaire de projet TI et développer ses compétences en gestion d'équipes, planification et coordination de projets technologiques. Il prévoit des certifications PMP et ITIL. Il garde une vision à long terme sans s'éloigner du volet technique.","[""[Source 1 - Objectifs]\nMon objectif à 5 ans est de continuer à acquérir des connaissances et perfectionner mes compétences de gestion. Je vise un poste combinant responsabilités techniques et leadership d'équipe.\n(Pertinence: 0.59)\n\n---\n\n[Source 2 - Objectifs]\nMes domaines de prédilection sont le développement web (priorité haute), la gestion de projets (priorité haute), l'intelligence artificielle (priorité moyenne-haute) et le DevOps. Je suis particulièrement intéressé par les postes ",VECTOR,AGENT
Combien de projets as-tu réalisés ?,"J'ai réalisé **4 projets** dans mon portfolio ! 🚀 

Chacun d'entre eux représente une opportunité d'apprentissage et de mise en pratique de différentes technologies. Si tu veux en savoir plus sur l'un d'eux en particulier ou connaître les technologies utilisées, n'hésite pas à me poser la question ! 😊","Il a réalisé plusieurs projets dont une application de gestion de dépenses, une application de gestion d'épicerie et un CV interactif sous forme de chatbot IA.","[""[(4,)]""]",SQL,AGENT
Quel diplôme as-tu obtenu ?,"Parfait ! Voici mes diplômes et formations : 📚

**Actuellement en cours :**
Je poursuis un **DEC en Techniques de l'informatique** au Cégep de Chicoutimi, avec une spécialisation en Conception et Développement d'applications. Mon programme a débuté en août 2023 et se terminera en mai 2026.

**Formation antérieure :**
J'ai obtenu mon **Baccalauréat scientifique** au Cameroun en 2021 au Complexe Scolaire International La Gaieté, avec spécialisation en mathématiques, physique et chimie. Cette formation m'a donné une solide base analytique et logique, essentielle pour la programmation. 🎓

Mon DEC est particulièrement enrichissant car il me permet de maîtriser la conception orientée objet, l'architecture logicielle, les bases de données relationnelles et le développement d'applications professionnelles. 💻",Il a obtenu un DEC en Techniques de l'informatique au Cégep de Chicoutimi.,"[""Aucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - Formation]\nJ'ai obtenu mon Baccalauréat scientifique au Cameroun en 2021 au Complexe Scolaire International La Gaieté, avec spécialisation en mathématiques, physique et chimie. Cette formation m'a donné une solide base analytique et logique essentielle en programmation.\n(Pertinence: 0.45)\n\n---\n\n[Source 2 - Formation]\nJe poursuis actuellement un DEC en Techniques de l'informatique au Cégep de Chicoutimi, avec une spécialisa",SQL,AGENT
As-tu de l'expérience en Python ?,"Oui, j'ai de l'expérience en Python ! 🐍 Je maîtrise Python à un niveau intermédiaire et l'utilise principalement pour :

- **Développement web** avec Django et FastAPI
- **Intégration d'APIs d'IA** comme Claude et Voyage AI dans mes projets RAG
- **Scripts d'automatisation** et simulations

J'ai notamment développé des scripts pour des jeux de cartes simplifiés et des calculs de répartition de dépenses. C'est un langage que j'apprécie beaucoup pour sa flexibilité et sa puissance ! 💪

Y a-t-il un projet spécifique en Python qui t'intéresse ?","Oui, il développe en Python avec Django et FastAPI.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - Compétences techniques]\nJe maîtrise Python à un niveau intermédiaire (3/5), principalement pour le développement web avec Django et FastAPI. Je l'utilise aussi pour l'intégration d'APIs d'IA comme Claude et Voyage AI dans mes projets RAG.\n(Pertinence: 0.67)\n\n---\n\n[Source 2 - Projet]\nJ’ai aussi développé des scripts d’automatisation et de simulation en Python, notamment p",SQL,AGENT
Tu connais React ?,"Oui, je connais React ! 🎯 

J'ai utilisé **React 18** dans mon projet **Super CChic**, un système de point de vente complet pour épiceries. Dans ce projet, j'ai développé un site web vitrine en React qui complète l'application desktop WPF et l'API Django REST.

C'est un projet d'envergure où j'ai pu mettre en pratique mes compétences en développement frontend moderne. Si tu veux en savoir plus sur ce projet ou sur mes autres expériences avec les technologies web, n'hésite pas à demander ! 💻","Oui, il utilise React dans ses projets, notamment pour le développement frontend.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.\n\n---\n\n[(1, 'Super CChic', 'super-cchic-pos-system', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. ",SQL,AGENT
